S2_B1,S2_B2,S2_B4,S2_B11,S2_B12,ARVI,CI,DVI,GEMI,GNDVI,IPVI,IRECI,MCARI,MSAVI,MSAVI2,NDVI,NDWI2,PSSRA,RI,RVI,SAVI,3_45_9,3_90_12,3_90_63,5_90_21,5_90_62,7_90_15,7_45_19,9_180_12,9_45_97,9_90_11,9_90_59,11_135_1,13_90_59,15_135_97,15_45_1,15_45_19,15_45_59,15_45_81,15_90_13,15_90_31,15_90_59,15_90_64,15_180_59,Label
0.0403,0.031,0.0161,0.0146,0.0134,0.85629,-0.01227,-0.0006,0.16862,-0.03125,0.49051,0.00131,0,-0.00116,0.49884,-0.01899,0.03125,1.08075,57.70317,0.96273,-0.00169,2.88889,0.22222,1,0,0,0.28363,1,0.39506,0,0.7963,1,10,1,0,10,1,1,0.98222,0.46667,1,1,1,1,1
0.0392,0.0322,0.0155,0.0139,0.0136,1.16667,-0.14835,0.0001,0.16903,-0.14521,0.50161,0.0004,0,0.00019,0.50019,0.00322,0.14521,1.02581,26.31628,1.00645,0.00028,3,0,1,0,0,1,1,0,0,1,1,9,1,0,9,1,1,0.99556,0.01333,1,1,1,1,1
0.0395,0.0301,0.0153,0.0133,0.0135,0.93243,-0.02857,-0.001,0.16549,-0.0623,0.48311,0.00069,0,-0.00194,0.49806,-0.03378,0.0623,1.04575,55.06021,0.93464,-0.00283,2.22222,0.55556,1,0,0,0.37193,1,0.33333,0,0.82099,1,9.42975,1,0,9.47111,1,1,1,0.38667,1,1,1,1,1
0.0416,0.0317,0.016,0.0146,0.0133,0.9625,-0.05882,-0.0003,0.1692,-0.06825,0.49527,0.0003,0,-0.00058,0.49942,-0.00946,0.06825,1.01875,43.89575,0.98125,-0.00085,2.66667,0.33333,1,0,0,0.56851,1,0.24691,0,0.85185,1,10,1,0,10,1,1,0.50667,0.32889,1,1,1,1,1
0.0416,0.0294,0.0164,0.0139,0.0134,0.64211,-0.01205,-0.0008,0.16883,-0.03704,0.4875,-0.0002,0,-0.00155,0.49845,-0.025,0.03704,0.9878,56.72309,0.95122,-0.00226,2.88889,0.22222,1,0,0,0.65098,1,0.18519,0,0.88272,1,10,1,0,10,1,1,0.42667,0.26222,1,1,1,1,1
0.0355,0.0309,0.0159,0.0144,0.0132,0.89222,-0.10924,-0.0001,0.16949,-0.11236,0.49842,0,0,-0.00019,0.49981,-0.00315,0.11236,1,32.56856,0.99371,-0.00028,2.44444,0.88889,1,0,0,0.52853,1,0.25926,0,0.83333,1,8,1,0,8,1,1,0.94667,0.32444,1,1,1,1,1
0.0351,0.0309,0.0192,0.0172,0.0152,0.41634,-0.14094,-0.001,0.17522,-0.16705,0.48663,-0.00042,0,-0.00193,0.49807,-0.02674,0.16705,0.97917,22.23218,0.94792,-0.00279,2.88889,0.11111,1,0,0,0.65098,1,0.2716,0,0.88889,1,8,1,0,8,1,1,1,0.27556,0.72196,1,1,1,1
0.0388,0.0336,0.0153,0.0144,0.0138,1.52632,-0.17297,-0.0009,0.16576,-0.20222,0.48485,0.00137,0,-0.00175,0.49825,-0.0303,0.20222,1.0915,22.90887,0.94118,-0.00255,3,0,1,0,0,1,1,0,0,1,1,9,1,0,9,1,1,0.8,0,1,1,1,1,1
0.0439,0.036,0.0178,0.0143,0.0131,1.05031,-0.0028,-0.0015,0.17042,-0.04678,0.47801,-0.00105,0,-0.0029,0.4971,-0.04399,0.04678,0.94382,55.24348,0.91573,-0.00421,3,0,1,0,0,1,1,0,0,1,1,11,1,0,11,1,1,1,0,1,1,1,1,1
0.0411,0.0312,0.0152,0.0142,0.0137,1.11189,-0.06462,-0.0001,0.16771,-0.0679,0.49835,0.00173,0,-0.00019,0.49981,-0.0033,0.0679,1.10526,44.62197,0.99342,-0.00028,3,0,1,0,0,0.54602,1,0.32099,0,0.84568,1,10.14876,0.98462,0,10.19555,0.96167,0.96683,0.66222,0.44889,0.89649,0.97022,0.65071,0.95289,1
